chrom	left_start	left_end	right_start	right_end
NC_045512.2	8	34	111	140
NC_045512.2	35	61	111	140
NC_045512.2	70	94	192	212
NC_045512.2	159	183	285	308
NC_045512.2	256	279	380	404
NC_045512.2	336	353	458	482
NC_045512.2	411	434	535	557
NC_045512.2	487	505	623	647
NC_045512.2	503	527	623	647
NC_045512.2	591	612	711	737
NC_045512.2	656	675	804	824
NC_045512.2	677	703	804	824
NC_045512.2	777	799	891	914
NC_045512.2	860	884	985	1008
NC_045512.2	958	980	1074	1107
NC_045512.2	1042	1068	1164	1186
NC_045512.2	1131	1158	1258	1280
NC_045512.2	1229	1254	1347	1378
NC_045512.2	1312	1336	1434	1458
NC_045512.2	1408	1430	1515	1538
NC_045512.2	1487	1510	1607	1635
NC_045512.2	1564	1589	1685	1712
NC_045512.2	1648	1681	1765	1797
NC_045512.2	1728	1752	1851	1875
NC_045512.2	1823	1847	1945	1972
NC_045512.2	1887	1912	2010	2036
NC_045512.2	1974	2003	2088	2110
NC_045512.2	2044	2073	2163	2193
NC_045512.2	2126	2151	2249	2272
NC_045512.2	2217	2243	2336	2366
NC_045512.2	2299	2332	2422	2448
NC_045512.2	2383	2406	2501	2525
NC_045512.2	2468	2496	2593	2615
NC_045512.2	2562	2588	2685	2711
NC_045512.2	2651	2673	2771	2800
NC_045512.2	2736	2762	2861	2884
NC_045512.2	2820	2848	2934	2957
NC_045512.2	2900	2928	3023	3049
NC_045512.2	2988	3015	3111	3136
NC_045512.2	3080	3106	3200	3229
NC_045512.2	3170	3194	3290	3317
NC_045512.2	3255	3286	3373	3404
NC_045512.2	3334	3367	3457	3480
NC_045512.2	3419	3445	3578	3602
NC_045512.2	3541	3566	3661	3689
NC_045512.2	3629	3657	3754	3778
NC_045512.2	3726	3749	3849	3875
NC_045512.2	3808	3837	3926	3956
NC_045512.2	3890	3921	4006	4039
NC_045512.2	3974	4000	4091	4118
NC_045512.2	4061	4085	4187	4209
NC_045512.2	4145	4171	4265	4290
NC_045512.2	4225	4254	4345	4374
NC_045512.2	4311	4340	4436	4460
NC_045512.2	4406	4430	4532	4560
NC_045512.2	4486	4512	4611	4633
NC_045512.2	4561	4591	4683	4709
NC_045512.2	4644	4667	4766	4791
NC_045512.2	4730	4762	4846	4879
NC_045512.2	4812	4842	4934	4961
NC_045512.2	4904	4930	5063	5093
NC_045512.2	4994	5015	5157	5183
NC_045512.2	5104	5137	5228	5253
NC_045512.2	5196	5223	5316	5345
NC_045512.2	5286	5311	5407	5435
NC_045512.2	5381	5403	5505	5529
NC_045512.2	5474	5501	5593	5623
NC_045512.2	5548	5574	5674	5697
NC_045512.2	5628	5657	5754	5785
NC_045512.2	5719	5745	5840	5866
NC_045512.2	5809	5833	5931	5957
NC_045512.2	5883	5912	6008	6032
NC_045512.2	5977	6004	6099	6125
NC_045512.2	6062	6095	6185	6211
NC_045512.2	6158	6181	6282	6306
NC_045512.2	6249	6274	6369	6392
NC_045512.2	6330	6358	6452	6479
NC_045512.2	6419	6446	6542	6568
NC_045512.2	6503	6536	6629	6651
NC_045512.2	6592	6625	6709	6741
NC_045512.2	6674	6705	6791	6822
NC_045512.2	6752	6785	6874	6901
NC_045512.2	6839	6863	6959	6988
